ID,whiteElo,blackElo,result,eloChange
A6#1,2550,2550,0,-5.0
A6#2,2585,2695,0,-3.5
A6#3,2550,2695,0.5,2.0
A6#4,2550,2585,1,5.5
A6#5,2695,2550,0.5,-2.0
A6#6,2585,2550,0.5,-0.5
A6#7,2695,2585,0.5,-1.5
A6#8,2550,2550,0.5,0.0
A6#9,2550,2695,0.5,2.0
A6#10,2550,2585,0,-4.5
A6#11,2585,2550,1,4.5
A6#12,2695,2550,1,3.0
A7#1,2530,2445,1,3.8
A7#2,2470,2460,0.5,-0.1
A7#3,2525,2550,0.5,0.4
A7#4,2545,2490,0.5,-0.8
A7#5,2555,2550,0.5,-0.1
A7#6,2550,2590,1,5.6
A7#7,2480,2555,0,-3.9
A7#8,2430,2530,0.5,1.4
A7#9,2550,2480,1,4.0
A7#10,2430,2470,0,-4.4
A7#11,2530,2555,0,-4.6
A7#12,2590,2530,0.5,-0.9
A7#13,2445,2555,0.5,1.5
A7#14,2550,2550,0.5,0.0
A7#15,2460,2545,0,-3.8
A7#16,2490,2525,0.5,0.5
A7#17,2480,2445,0.5,-0.5
A7#18,2525,2460,1,4.1
A7#19,2550,2490,0.5,-0.9
A7#20,2555,2550,0,-5.1
A7#21,2545,2430,1,3.4
A7#22,2530,2550,0.5,0.3
A7#23,2470,2530,0.5,0.9
A7#24,2555,2590,0.5,0.5
A7#25,2530,2550,0.5,0.3
A7#26,2430,2525,0,-3.7
A7#27,2445,2555,0.5,1.5
A7#28,2550,2555,0,-4.9
A7#29,2460,2550,1,6.3
A7#30,2490,2530,0.5,0.6
A7#31,2590,2480,1,3.5
A7#32,2470,2545,0,-3.9
A7#33,2550,2430,0.5,-1.7
A7#34,2480,2550,1,6.0
A7#35,2555,2590,0.5,0.5
A7#36,2555,2490,1,4.1
A7#37,2550,2445,0.5,-1.5
A7#38,2545,2530,0.5,-0.2
A7#39,2525,2470,0.5,-0.8
A7#40,2530,2460,0.5,-1.0
A7#41,2470,2550,0.5,1.1
A7#42,2460,2555,0,-3.7
A7#43,2550,2555,1,5.1
A7#44,2430,2530,1,6.4
A7#45,2590,2550,0,-5.6
A7#46,2530,2445,0.5,-1.2
A7#47,2490,2480,0,-5.1
A7#48,2545,2525,0.5,-0.3
A7#49,2530,2470,0.5,-0.9
A7#50,2555,2430,0.5,-1.7
A7#51,2550,2545,0.5,-0.1
A7#52,2445,2590,0.5,2.0
A7#53,2525,2530,0.5,0.1
A7#54,2550,2550,0.5,0.0
A7#55,2480,2460,0.5,-0.3
A7#56,2555,2490,0.5,-0.9
A7#57,2460,2555,1,6.3
A7#58,2490,2550,0,-4.1
A7#59,2470,2555,1,6.2
A7#60,2525,2550,0.5,0.4
A7#61,2545,2530,0.5,-0.2
A7#62,2430,2480,1,5.7
A7#63,2530,2590,1,5.9
A7#64,2550,2445,0.5,-1.5
A7#65,2550,2460,0,-6.3
A7#66,2590,2550,1,4.4
A7#67,2480,2470,0.5,-0.1
A7#68,2555,2430,1,3.3
A7#69,2550,2530,0,-5.3
A7#70,2555,2545,1,4.9
A7#71,2445,2490,0,-4.4
A7#72,2530,2525,0,-5.1
A7#73,2490,2590,0,-3.6
A7#74,2430,2550,0.5,1.7
A7#75,2460,2445,1,4.8
A7#76,2470,2555,1,6.2
